date,timestamp,meals,weight,glasses_of_fluid,alcohol_consumed
17/11/2019,17/11/2019 18:39:07,"Breakfast, Lunch, Dinner",86,4,Yes
18/11/2019,18/11/2019 21:16:06,"Breakfast, Lunch, Dinner",86.5,3,Yes
19/11/2019,19/11/2019 23:12:16,"Breakfast, Lunch, Evening",85.6,8,No
20/11/2019,20/11/2019 23:41:53,"Breakfast, Lunch, Dinner, Evening",84.9,6,Yes
21/11/2019,22/11/2019 09:37:47,"Breakfast, Lunch, Dinner",86.9,7,Yes
22/11/2019,24/12/2019 11:35:00,"Lunch, Evening",87,10,Yes
22/11/2019,24/11/2019 00:54:28,"Breakfast, Lunch, Dinner, Evening",84.9,8,Yes
23/11/2019,24/12/2019 11:35:37,"Lunch, Evening",87,10,Yes
23/11/2019,24/11/2019 00:55:18,"Breakfast, Lunch, Evening",84.9,5,Yes
24/11/2019,24/11/2019 21:26:41,"Breakfast, Lunch, Evening",85,8,Yes
26/11/2019,27/11/2019 16:09:31,"Breakfast, Dinner, Evening",86,8,Yes
28/11/2019,28/11/2019 21:14:54,"Breakfast, Lunch, Dinner, Evening",86,8,Yes
29/11/2019,29/11/2019 23:45:54,"Lunch, Dinner",86,6,Yes
01/12/2019,01/12/2019 21:20:18,"Breakfast, Lunch, Evening",86,9,No
02/12/2019,03/12/2019 09:01:29,"Breakfast, Lunch",86,9,Yes
04/12/2019,07/12/2019 21:01:10,"Breakfast, Lunch, Dinner, Evening",87,9,No
05/12/2019,07/12/2019 21:01:40,"Breakfast, Lunch, Evening",86.5,7,No
06/12/2019,07/12/2019 21:02:19,"Breakfast, Lunch, Dinner, Evening",86,8,Yes
07/12/2019,09/12/2019 12:25:43,"Breakfast, Lunch, Evening",86,7,Yes
07/12/2019,07/12/2019 21:02:47,"Breakfast, Lunch, Evening",86,5,Yes
08/12/2019,09/12/2019 12:26:20,"Breakfast, Evening",86,7,Yes
09/12/2019,10/12/2019 14:21:21,"Breakfast, Lunch",87,5,Yes
10/12/2019,10/12/2019 22:19:49,"Breakfast, Lunch, Dinner",86,4,Yes
12/12/2019,13/12/2019 21:16:02,"Breakfast, Lunch, Dinner",86,10,Yes
13/12/2019,14/12/2019 18:15:30,"Breakfast, Lunch, Dinner, Evening",87,9,Yes
14/12/2019,15/12/2019 16:47:12,"Breakfast, Lunch, Dinner",87,8,Yes
16/12/2019,17/12/2019 09:40:43,"Breakfast, Lunch, Dinner, Evening",87,10,Yes
19/12/2019,21/12/2019 01:04:17,"Breakfast, Dinner",86,9,Yes
20/12/2019,21/12/2019 01:05:03,Dinner,87,5,No
21/12/2019,21/12/2019 01:05:47,"Breakfast, Lunch, Dinner, Evening",86,10,Yes
24/12/2019,25/12/2019 18:04:55,"Lunch, Dinner",86,10,Yes
25/12/2019,27/12/2019 15:28:59,"Breakfast, Dinner",85,9,Yes
26/12/2019,27/12/2019 15:29:33,"Breakfast, Lunch, Dinner",84.5,5,Yes
28/12/2019,28/12/2019 23:38:16,"Breakfast, Lunch, Dinner",85,7,Yes
29/12/2019,30/12/2019 21:16:04,"Lunch, Dinner",86,8,Yes
01/01/2020,02/01/2020 22:32:30,"Lunch, Dinner, Evening",85,12,No
02/01/2020,02/01/2020 22:33:16,"Breakfast, Lunch, Dinner, Evening",85,10,No
05/01/2020,06/01/2020 09:10:36,"Lunch, Dinner",85,5,Yes
06/01/2020,06/01/2020 23:51:55,"Breakfast, Dinner",85,7,No
08/01/2020,09/01/2020 14:51:57,"Breakfast, Lunch, Dinner, Evening",85,15,Yes
09/01/2020,10/01/2020 00:04:14,"Breakfast, Lunch",85,10,Yes
14/01/2020,15/01/2020 02:27:26,"Breakfast, Lunch, Dinner, Evening",86,10,Yes
18/01/2020,18/01/2020 21:31:10,"Breakfast, Lunch, Dinner, Evening",86,10,Yes
19/01/2020,20/01/2020 21:32:01,"Breakfast, Dinner",86,9,Yes
26/01/2020,26/01/2020 10:11:44,"Breakfast, Lunch, Dinner",84.5,8,Yes
27/01/2020,27/01/2020 00:32:40,"Breakfast, Dinner",85,5,Yes
28/01/2020,29/01/2020 23:06:04,"Breakfast, Lunch, Dinner",87,12,No
29/01/2020,29/01/2020 23:09:12,"Breakfast, Lunch",86,5,No
30/01/2020,31/01/2020 09:01:16,"Breakfast, Lunch, Dinner",86,8,No
02/02/2020,03/02/2020 23:42:25,"Breakfast, Lunch, Dinner",86,8,Yes
03/02/2020,03/02/2020 23:43:04,"Breakfast, Lunch, Dinner, Evening",86,9,No
05/02/2020,06/02/2020 16:11:19,"Breakfast, Lunch, Dinner, Evening",86,15,Yes
06/02/2020,06/02/2020 23:47:17,"Lunch, Evening",86,7,No
07/02/2020,08/02/2020 00:57:06,"Breakfast, Lunch, Evening",86,9,Yes
09/02/2020,10/02/2020 15:37:08,"Breakfast, Dinner",86,14,No
10/02/2020,11/02/2020 10:53:37,"Breakfast, Lunch",85,7,No
13/02/2020,15/02/2020 12:16:43,"Breakfast, Lunch, Dinner, Evening",87,10,No
14/02/2020,15/02/2020 12:17:30,"Breakfast, Lunch, Evening",87,6,Yes
17/02/2020,17/02/2020 23:21:20,"Breakfast, Lunch, Dinner",86,11,No
22/02/2020,23/02/2020 09:50:48,"Breakfast, Lunch, Dinner",86,12,Yes
23/02/2020,23/02/2020 21:09:54,"Breakfast, Dinner",86,8,Maybe
27/02/2020,28/01/2020 11:57:15,Dinner,86,10,No
01/03/2020,02/03/2020 17:29:29,"Breakfast, Lunch, Dinner, Evening",,9,No
07/03/2020,08/03/2020 13:51:36,"Lunch, Dinner",,14,Yes
17/03/2020,18/03/2020 10:25:00,"Lunch, Dinner",,15,No
18/03/2020,18/03/2020 23:23:38,"Breakfast, Lunch, Dinner",,14,No
