end_date_time,activity_names,perceived_exertion,duration_min
2019-11-17T14:28:42.108Z,"['individual', 'endurance']",8,180
2019-11-18T06:30:12.000Z,"['individual', 'endurance']",1,30
2019-11-19T17:25:12.000Z,"['individual', 'running']",7,50
2019-11-20T18:17:54.544Z,"['individual', 'strength']",7,70
2019-11-21T13:30:46.000Z,"['individual', 'endurance']",5,30
2019-11-22T16:18:10.116Z,"['individual', 'strength']",9,60
2019-11-23T11:00:45.000Z,"['individual', 'endurance']",6,80
2019-11-24T16:23:01.000Z,"['individual', 'endurance']",3,60
2019-11-25T16:00:23.000Z,"['individual', 'strength']",7,80
2019-11-26T15:38:38.783Z,"['individual', 'endurance']",7,50
2019-11-27T21:30:04.000Z,"['individual', 'strength']",4,20
2019-11-28T11:30:47.000Z,"['individual', 'endurance']",9,70
2019-11-28T21:55:34.683Z,"['individual', 'strength']",5,20
2019-11-29T12:32:35.591Z,"['individual', 'endurance']",10,90
2019-12-01T09:30:15.000Z,"['individual', 'endurance']",7,90
2019-12-01T19:43:02.926Z,"['individual', 'strength']",8,60
2019-12-02T13:46:24.000Z,"['individual', 'strength']",5,40
2019-12-03T13:45:57.000Z,"['individual', 'strength']",6,40
2019-12-06T14:00:53.000Z,"['individual', 'endurance']",6,60
2019-12-07T14:00:01.000Z,"['individual', 'endurance']",6,90
2019-12-08T11:30:44.000Z,"['individual', 'endurance']",6,90
2019-12-10T15:30:34.000Z,"['individual', 'strength']",7,80
2019-12-10T17:00:32.000Z,"['individual', 'running']",6,50
2019-12-11T13:30:55.000Z,"['individual', 'strength']",6,30
2019-12-12T18:34:07.893Z,"['individual', 'running']",6,50
2019-12-13T20:00:03.000Z,"['individual', 'strength']",4,30
2019-12-15T10:30:25.000Z,"['individual', 'endurance']",6,90
2019-12-16T14:40:13.000Z,"['individual', 'strength']",7,90
2019-12-17T19:10:25.000Z,"['individual', 'endurance']",5,50
2019-12-18T13:59:34.000Z,"['individual', 'strength']",6,60
2019-12-19T13:22:38.000Z,"['individual', 'running']",6,30
2019-12-20T17:00:36.000Z,"['individual', 'strength']",7,90
2019-12-21T10:30:42.000Z,"['individual', 'running']",6,90
2019-12-23T09:45:24.000Z,"['individual', 'endurance']",10,180
2019-12-24T20:22:21.394Z,"['individual', 'strength']",5,20
2019-12-25T14:00:59.000Z,"['individual', 'endurance']",10,180
2019-12-26T12:00:41.000Z,"['individual', 'endurance']",6,60
2019-12-27T12:30:15.000Z,"['individual', 'endurance']",8,180
2019-12-28T12:30:13.000Z,"['individual', 'endurance']",9,180
2019-12-29T13:00:10.000Z,"['individual', 'endurance']",7,180
2019-12-29T13:00:30.000Z,"['individual', 'endurance']",6,90
2019-12-30T10:00:24.000Z,"['individual', 'endurance']",7,120
2019-12-30T12:00:02.000Z,"['individual', 'endurance']",8,120
2019-12-31T13:01:31.000Z,"['individual', 'endurance']",7,120
2020-01-01T11:00:03.000Z,"['individual', 'endurance']",9,120
2020-01-04T10:23:27.000Z,"['individual', 'endurance']",7,90
2020-01-05T11:00:46.000Z,"['individual', 'endurance']",4,100
2020-01-06T21:16:45.125Z,"['individual', 'strength']",7,80
2020-01-07T18:28:29.000Z,"['individual', 'running']",6,50
2020-01-08T17:00:32.000Z,"['individual', 'strength']",7,90
2020-01-09T16:00:15.000Z,"['individual', 'endurance']",5,30
2020-01-10T16:00:18.000Z,"['individual', 'endurance']",5,70
2020-01-11T12:01:06.229Z,"['individual', 'endurance']",5,120
2020-01-12T12:00:38.000Z,"['individual', 'endurance']",7,120
2020-01-13T16:55:18.969Z,"['individual', 'strength']",7,90
2020-01-14T18:00:49.000Z,"['individual', 'running']",6,50
2020-01-15T16:00:10.000Z,"['individual', 'strength']",7,60
2020-01-17T14:00:40.000Z,"['individual', 'endurance']",7,60
2020-01-18T13:00:20.000Z,"['individual', 'endurance']",8,120
2020-01-19T12:00:24.000Z,"['individual', 'endurance']",7,120
2020-01-20T17:02:07.889Z,"['individual', 'strength']",7,90
2020-01-21T16:15:57.000Z,"['individual', 'running']",6,70
2020-01-22T16:00:52.000Z,"['individual', 'strength']",6,70
2020-01-23T16:00:19.000Z,"['individual', 'endurance']",6,50
2020-01-26T11:19:48.096Z,"['individual', 'endurance']",5,120
2020-01-27T16:00:47.000Z,"['individual', 'strength']",7,90
2020-01-28T16:34:16.588Z,"['individual', 'endurance']",6,70
2020-01-29T13:00:58.000Z,"['individual', 'strength']",6,70
2020-01-30T13:00:19.000Z,"['individual', 'endurance']",6,90
2020-01-31T12:00:12.000Z,"['individual', 'endurance']",7,90
2020-02-01T11:00:33.000Z,"['individual', 'endurance']",7,100
2020-02-02T11:00:17.000Z,"['individual', 'endurance']",9,120
2020-02-04T17:00:04.000Z,"['individual', 'endurance']",5,70
2020-02-06T14:00:01.000Z,"['individual', 'endurance']",8,180
2020-02-07T14:00:47.000Z,"['individual', 'endurance']",8,180
2020-02-08T11:00:28.000Z,"['individual', 'endurance']",7,30
2020-02-09T11:00:13.000Z,"['individual', 'endurance']",5,120
2020-02-15T08:30:38.000Z,"['individual', 'endurance']",5,120
2020-02-17T09:00:03.000Z,"['individual', 'endurance']",6,120
2020-02-18T14:00:54.000Z,"['individual', 'endurance']",8,180
2020-02-20T11:00:41.000Z,"['individual', 'endurance']",7,90
2020-02-21T14:00:43.000Z,"['individual', 'endurance']",9,180
2020-02-22T15:00:30.000Z,"['individual', 'endurance']",8,120
2020-02-23T13:00:18.000Z,"['individual', 'endurance']",3,120
2020-02-28T13:00:26.000Z,"['individual', 'endurance']",7,120
2020-02-29T14:59:46.000Z,"['individual', 'endurance']",4,180
2020-03-01T13:00:06.000Z,"['individual', 'endurance']",7,180
2020-03-16T08:00:51.000Z,"['individual', 'endurance']",7,70
2020-03-16T15:30:38.000Z,"['individual', 'endurance']",4,60
2020-03-17T09:00:14.000Z,"['individual', 'endurance']",6,90
2020-03-17T14:00:43.000Z,"['individual', 'endurance']",4,60
2020-03-18T10:00:10.000Z,"['individual', 'endurance']",6,90
2020-03-18T15:00:02.000Z,"['individual', 'endurance']",4,120
2020-03-19T09:04:48.000Z,"['individual', 'endurance']",6,90
2020-03-19T15:00:28.000Z,"['individual', 'endurance']",4,60
2020-03-20T15:00:10.000Z,"['individual', 'endurance']",5,120
2020-03-21T09:30:45.000Z,"['individual', 'endurance']",6,90
2020-03-22T11:00:32.000Z,"['individual', 'endurance']",7,120
2020-03-23T14:00:19.000Z,"['individual', 'endurance']",4,60
2020-03-24T12:30:25.000Z,"['individual', 'endurance']",6,100
2020-03-25T15:30:39.000Z,"['individual', 'endurance']",4,90
2020-03-26T13:00:39.000Z,"['individual', 'endurance']",6,120
2020-03-27T15:59:02.000Z,"['individual', 'endurance']",3,100
2020-03-28T13:00:37.000Z,"['individual', 'endurance']",6,120
