end_date_time,activity_names,perceived_exertion,duration_min
2019-11-11T15:44:21.505Z,"['individual', 'endurance']",5,60
2019-11-12T07:50:43.717Z,"['individual', 'endurance', 'running']",8,40
2019-11-12T18:50:35.721Z,"['individual', 'endurance', 'running']",8,60
2019-11-14T19:50:43.952Z,"['individual', 'running']",6,60
2019-11-15T15:00:05.346Z,"['individual', 'strength']",4,90
2019-11-16T13:08:51.719Z,"['individual', 'endurance']",5,60
2019-11-17T11:52:50.670Z,"['individual', 'running']",2,100
2019-11-18T18:34:44.238Z,"['individual', 'endurance']",4,50
2019-11-19T18:44:03.126Z,"['individual', 'running']",2,40
2019-11-21T19:09:14.664Z,"['individual', 'running']",7,50
2019-11-22T14:49:21.321Z,"['individual', 'strength']",6,60
2019-11-23T15:30:39.457Z,"['individual', 'endurance']",7,50
2019-11-24T19:06:53.000Z,"['individual', 'endurance', 'running']",6,80
2019-11-25T18:33:45.133Z,"['individual', 'running']",6,50
2019-11-26T17:45:29.000Z,"['individual', 'running']",9,60
2019-11-27T18:39:05.858Z,"['individual', 'endurance']",6,90
2019-11-28T19:59:26.197Z,"['individual', 'running']",8,40
2019-11-29T15:38:31.192Z,"['individual', 'strength']",5,50
2019-11-30T17:40:58.025Z,"['individual', 'endurance']",7,60
2019-12-01T11:24:26.281Z,"['individual', 'endurance', 'running']",7,110
2019-12-02T19:58:05.191Z,"['individual', 'running']",6,50
2019-12-03T19:50:45.886Z,"['individual', 'running']",8,50
2019-12-04T21:18:33.223Z,"['individual', 'endurance']",4,60
2019-12-05T18:49:43.746Z,"['individual', 'running']",8,20
2019-12-06T15:06:24.114Z,"['individual', 'strength']",4,60
2019-12-08T13:07:59.955Z,"['individual', 'running']",7,120
2019-12-10T18:50:32.810Z,"['individual', 'running']",7,60
2019-12-11T20:15:04.577Z,"['individual', 'strength', 'running']",4,60
2019-12-12T09:20:05.000Z,"['individual', 'running']",7,80
2019-12-13T11:15:10.000Z,"['individual', 'strength']",5,70
2019-12-15T16:47:55.000Z,"['individual', 'running']",7,100
2019-12-16T19:13:18.000Z,"['individual', 'running']",8,60
2019-12-17T19:12:04.189Z,"['individual', 'running']",6,60
2019-12-18T14:57:01.182Z,"['individual', 'running']",3,50
2019-12-21T08:54:22.747Z,"['individual', 'running']",7,60
2019-12-22T20:52:13.090Z,"['individual', 'running']",4,40
2019-12-23T13:40:03.764Z,"['individual', 'running']",7,80
2019-12-24T12:11:27.827Z,"['individual', 'endurance']",5,120
2019-12-27T16:55:11.468Z,"['individual', 'running']",5,50
2019-12-29T20:04:39.198Z,"['individual', 'running']",7,70
2019-12-30T16:26:46.668Z,"['individual', 'running']",6,50
2019-12-31T12:21:10.748Z,"['individual', 'running']",9,30
2020-01-01T20:57:07.735Z,"['individual', 'running']",5,40
2020-01-02T18:37:15.785Z,"['individual', 'running']",5,40
2020-01-04T15:28:22.000Z,"['individual', 'running']",9,90
2020-01-05T20:00:11.373Z,"['individual', 'endurance']",5,60
2020-01-06T20:23:50.809Z,"['individual', 'endurance']",7,50
2020-01-07T19:51:32.126Z,"['individual', 'running']",6,60
2020-01-08T20:44:21.204Z,"['individual', 'strength']",6,90
2020-01-09T17:58:57.512Z,"['individual', 'endurance']",7,50
2020-01-10T16:27:06.994Z,"['individual', 'endurance']",4,60
2020-01-11T15:09:37.616Z,"['individual', 'strength']",7,50
2020-01-18T16:33:29.117Z,"['individual', 'endurance']",7,60
2020-01-20T20:02:58.083Z,"['individual', 'running']",6,30
2020-01-21T19:50:37.536Z,"['individual', 'endurance']",7,40
2020-01-23T20:17:09.459Z,"['individual', 'endurance']",6,40
2020-01-26T13:00:28.000Z,"['individual', 'endurance']",9,180
2020-01-31T17:55:23.142Z,"['individual', 'running']",6,60
2020-02-01T12:58:02.049Z,"['individual', 'endurance']",6,90
2020-02-02T19:45:25.889Z,"['individual', 'running']",4,50
2020-02-03T19:54:09.504Z,"['individual', 'running']",8,60
2020-02-04T20:09:33.110Z,"['individual', 'endurance']",5,60
2020-02-06T19:10:20.980Z,"['individual', 'endurance']",8,70
2020-02-09T13:09:30.254Z,"['individual', 'endurance']",7,120
2020-02-09T13:59:34.512Z,"['individual', 'running']",6,40
2020-02-10T15:11:01.421Z,"['individual', 'running']",8,60
2020-02-11T20:30:42.759Z,"['individual', 'endurance']",5,60
2020-02-12T21:41:29.543Z,"['individual', 'running']",8,70
2020-02-14T15:10:49.438Z,"['individual', 'endurance']",8,60
2020-02-15T13:25:47.246Z,"['individual', 'running']",4,50
2020-02-15T13:29:58.422Z,"['individual', 'strength']",7,60
2020-02-16T14:37:13.000Z,"['individual', 'endurance']",6,120
2020-02-17T19:47:05.811Z,"['individual', 'running']",8,60
2020-02-18T17:43:17.000Z,"['individual', 'endurance']",5,70
2020-02-19T20:38:39.327Z,"['individual', 'strength']",6,80
2020-02-20T14:19:50.853Z,"['individual', 'running']",6,60
2020-02-21T13:43:02.052Z,"['individual', 'running']",6,50
2020-02-22T14:38:54.926Z,"['individual', 'endurance']",9,60
2020-02-23T14:29:32.196Z,"['individual', 'endurance']",7,120
2020-02-24T19:56:17.016Z,"['individual', 'running']",9,60
2020-02-25T14:24:02.301Z,"['individual', 'endurance']",4,60
2020-02-25T19:35:49.854Z,"['individual', 'running']",4,60
2020-02-27T20:23:52.366Z,"['individual', 'endurance']",8,60
2020-02-28T14:10:13.000Z,"['individual', 'strength']",4,50
2020-02-28T19:26:03.507Z,"['individual', 'endurance']",5,70
2020-02-29T13:48:50.000Z,"['individual', 'endurance']",6,100
2020-03-02T20:06:46.000Z,"['individual', 'endurance', 'running']",8,50
2020-03-03T19:48:38.582Z,"['individual', 'endurance']",4,50
2020-03-04T21:25:50.696Z,"['individual', 'running']",5,50
2020-03-05T15:52:16.711Z,"['individual', 'endurance']",5,40
2020-03-06T11:59:17.814Z,"['individual', 'endurance']",4,40
2020-03-07T13:38:16.512Z,"['individual', 'endurance']",9,90
2020-03-08T16:10:22.236Z,"['individual', 'running']",4,60
2020-03-09T14:25:25.506Z,"['individual', 'endurance']",4,60
2020-03-10T16:13:32.451Z,"['individual', 'endurance']",7,60
2020-03-13T17:10:58.655Z,"['individual', 'running']",8,60
2020-03-15T14:50:54.819Z,"['individual', 'running']",6,70
2020-03-16T16:20:10.191Z,"['individual', 'running']",8,50
2020-03-17T20:10:10.995Z,"['individual', 'running']",8,90
2020-03-18T20:26:19.766Z,"['individual', 'running']",6,60
2020-03-19T19:01:30.342Z,"['individual', 'running']",9,90
2020-03-20T16:47:42.206Z,"['individual', 'running']",3,60
2020-03-21T20:23:11.050Z,"['individual', 'running']",4,50
2020-03-22T12:31:28.978Z,"['individual', 'running']",7,80
2020-03-23T10:36:27.000Z,"['individual', 'endurance']",6,60
2020-03-24T15:41:16.072Z,"['individual', 'running']",8,70
2020-03-25T09:27:55.156Z,"['individual', 'endurance']",5,60
2020-03-25T16:08:28.446Z,"['individual', 'running']",4,50
2020-03-26T18:44:17.676Z,"['individual', 'running']",6,60
2020-03-27T09:43:45.913Z,"['individual', 'endurance']",3,60
2020-03-28T14:51:36.768Z,"['individual', 'running']",7,110
2020-03-29T14:44:49.140Z,"['individual', 'endurance']",6,120
2020-03-30T19:41:19.842Z,"['individual', 'running']",8,120
