end_date_time,activity_names,perceived_exertion,duration_min
2019-11-06T17:11:01.488Z,"['individual', 'endurance']",3,40
2019-11-07T17:25:57.372Z,"['individual', 'endurance']",5,70
2019-11-09T11:30:32.688Z,"['individual', 'endurance']",6,120
2019-11-09T14:38:23.669Z,"['individual', 'endurance']",5,120
2019-11-11T18:51:38.965Z,"['individual', 'running']",8,60
2019-11-13T09:20:38.949Z,"['individual', 'running']",4,60
2019-11-14T17:39:49.167Z,"['individual', 'running']",7,50
2019-11-15T13:58:07.247Z,"['individual', 'running']",7,30
2019-11-16T12:00:31.110Z,"['individual', 'endurance']",4,120
2019-11-17T11:39:15.385Z,"['individual', 'running']",4,100
2019-11-18T11:49:03.506Z,"['individual', 'endurance']",5,40
2019-11-19T18:32:50.810Z,"['individual', 'running']",8,20
2019-11-20T17:43:28.021Z,"['individual', 'running']",4,60
2019-11-21T15:19:20.270Z,"['individual', 'running']",7,50
2019-11-23T11:06:36.179Z,"['individual', 'running']",6,30
2019-11-24T13:44:27.109Z,"['individual', 'running']",3,90
2019-11-25T17:28:11.097Z,"['individual', 'running']",3,50
2019-11-26T16:44:21.778Z,"['individual', 'running']",6,40
2019-11-27T17:03:59.978Z,"['individual', 'running']",4,60
2019-11-28T15:15:24.641Z,"['individual', 'running']",7,50
2019-11-30T16:15:12.000Z,"['individual', 'endurance']",5,60
2019-12-01T11:24:29.588Z,"['individual', 'running']",5,110
2019-12-02T18:09:09.985Z,"['individual', 'running']",4,60
2019-12-03T18:04:22.311Z,"['individual', 'running']",8,50
2019-12-04T10:05:55.040Z,"['individual', 'running']",3,50
2019-12-05T09:14:00.046Z,"['individual', 'running']",3,60
2019-12-06T09:10:38.231Z,"['individual', 'running']",8,60
2019-12-07T14:58:00.864Z,"['individual', 'running']",3,60
2019-12-08T13:14:06.492Z,"['individual', 'running']",5,180
2019-12-09T15:30:46.759Z,"['individual', 'endurance']",3,60
2019-12-10T17:19:53.650Z,"['individual', 'running']",6,50
2019-12-11T11:06:48.818Z,"['individual', 'running']",3,60
2019-12-12T14:21:28.905Z,"['individual', 'running']",7,50
2019-12-12T18:37:51.864Z,"['individual', 'endurance']",4,70
2019-12-13T15:33:54.207Z,"['individual', 'endurance']",3,70
2019-12-13T17:30:16.586Z,"['individual', 'endurance']",6,60
2019-12-14T11:27:31.667Z,"['individual', 'running']",4,60
2019-12-15T10:49:12.220Z,"['individual', 'endurance']",3,70
2019-12-15T17:36:14.933Z,"['individual', 'running']",8,50
2019-12-16T15:23:54.310Z,"['individual', 'running']",4,60
2019-12-17T19:01:47.194Z,"['individual', 'running']",7,40
2019-12-18T14:06:13.970Z,"['individual', 'running']",3,60
2019-12-19T14:40:17.919Z,"['individual', 'running']",8,50
2019-12-20T11:24:18.204Z,"['individual', 'running']",5,50
2019-12-21T10:27:41.480Z,"['individual', 'running']",8,50
2019-12-23T11:55:31.133Z,"['individual', 'endurance']",3,120
2019-12-27T16:02:19.150Z,"['team', 'running']",3,60
2019-12-28T13:38:49.978Z,"['individual', 'running']",7,60
2019-12-30T11:20:14.077Z,"['individual', 'running']",3,60
2019-12-31T12:50:44.682Z,"['individual', 'running']",8,60
2020-01-01T18:04:05.580Z,"['individual', 'running']",4,40
2020-01-02T12:12:39.964Z,"['individual', 'running']",3,50
2020-01-08T13:20:40.268Z,"['individual', 'running']",5,30
2020-01-09T12:41:15.284Z,"['individual', 'running']",4,30
2020-01-13T17:30:06.000Z,"['individual', 'endurance']",5,90
2020-01-14T14:07:21.424Z,"['individual', 'running']",3,50
2020-01-15T12:30:20.000Z,"['individual', 'endurance']",3,120
2020-01-16T15:52:43.233Z,"['individual', 'running']",8,60
2020-01-17T10:40:49.826Z,"['individual', 'running']",3,60
2020-01-18T16:29:35.785Z,"['individual', 'running']",8,50
2020-01-20T17:38:06.873Z,"['individual', 'running']",9,60
2020-01-21T16:17:36.757Z,"['individual', 'running']",3,60
2020-01-22T16:50:55.465Z,"['individual', 'running']",10,50
2020-01-23T11:51:42.044Z,"['individual', 'endurance']",5,180
2020-01-23T20:23:10.808Z,"['individual', 'running']",3,30
2020-01-25T11:59:59.814Z,"['individual', 'endurance']",3,80
